ticketNumber,dateOfApprehension,timeOfApprehension,nameOfDriver,Gender,Age,Classification of Vehicle,placeOfViolation,violationType,violationDes,fineStatus,apprehendingOfficer
TN00028,20/04/2024,2:19:16,Chris Williams,Female,52,MC,Poblacion,Using Mobile Phone,Using Mobile Phone,Pending,Sophia Martinez
TN00029,19/03/2024,0:53:47,John Garcia,Male,50,Gov't Vehicle,Hinaplanon,Illegal Parking,Illegal Parking,Paid,Maria Brown
TN00030,18/05/2024,1:59:46,Emma Garcia,Male,23,PUV,Dalipuga,Reckless Driving,Reckless Driving,Pending,Alex Davis
TN00031,23/07/2024,20:06:22,Maria Brown,Female,47,Private,San Miguel,No Seatbelt,No Seatbelt,Paid,Chris Smith
TN00032,07/08/2024,12:43:08,Alex Williams,Female,26,MC,San Miguel,No Seatbelt,No Seatbelt,Pending,Alex Martinez
TN00033,24/11/2024,4:39:47,Maria Brown,Female,72,Gov't Vehicle,Tambacan,Running a Red Light,Running a Red Light,Pending,Jane Brown
TN00034,09/02/2024,12:56:07,Maria Jones,Male,28,PUV,Dalipuga,No Seatbelt,No Seatbelt,Pending,Jane Davis
TN00035,03/08/2024,12:50:42,Maria Clark,Male,56,Gov't Vehicle,Buru-un,Running a Red Light,Running a Red Light,Pending,Alex Garcia
TN00036,22/02/2024,3:49:16,Chris Brown,Female,52,PUJ,San Miguel,No Seatbelt,No Seatbelt,Unpaid,Maria Garcia
TN00037,11/10/2024,23:24:18,Sophia Clark,Male,60,MC,Tambacan,Reckless Driving,Reckless Driving,Unpaid,Maria Brown
TN00038,11/10/2024,9:03:32,Sophia Brown,Male,42,Private,Dalipuga,Illegal Parking,Illegal Parking,Pending,Luke Martinez
TN00039,08/05/2024,5:49:32,Chris Jones,Male,21,Gov't Vehicle,San Miguel,Speeding,Speeding,Pending,Anne Johnson
TN00040,06/08/2024,9:37:11,Anne Davis,Female,23,Gov't Vehicle,Hinaplanon,Illegal Parking,Illegal Parking,Unpaid,Sophia Williams
TN00041,21/05/2024,8:48:33,Chris Garcia,Male,71,PUB,Hinaplanon,Using Mobile Phone,Using Mobile Phone,Paid,Maria Smith
TN00042,27/01/2024,21:45:43,Anne Clark,Female,68,MC,Tambacan,Reckless Driving,Reckless Driving,Unpaid,John Jones
TN00043,23/01/2024,17:33:25,Luke Lopez,Male,66,TRI,Poblacion,No Seatbelt,No Seatbelt,Unpaid,Alex Davis
TN00044,25/10/2024,4:59:52,Alex Davis,Female,60,Gov't Vehicle,Dalipuga,Illegal Parking,Illegal Parking,Paid,Alex Garcia
TN00045,15/01/2024,14:35:46,Jane Smith,Female,21,Gov't Vehicle,Buru-un,Reckless Driving,Reckless Driving,Unpaid,Jane Smith
TN00046,22/08/2024,4:45:44,Anne Lopez,Male,75,TRI,Buru-un,Using Mobile Phone,Using Mobile Phone,Pending,Emma Brown
TN00047,15/08/2024,20:41:31,Emma Davis,Female,62,Private,Pala-o,Using Mobile Phone,Using Mobile Phone,Paid,Emma Clark
TN00048,01/05/2024,11:25:31,Anne Martinez,Female,56,PUJ,Tambacan,Illegal Parking,Illegal Parking,Unpaid,Sophia Martinez
TN00049,18/03/2024,20:53:57,Mark Garcia,Female,58,MC,Hinaplanon,No Seatbelt,No Seatbelt,Unpaid,Emma Clark
TN00050,03/03/2024,2:46:19,Anne Brown,Male,41,MC,Poblacion,Speeding,Speeding,Paid,Mark Jones
